"number","assignment_group","variables.c484205e1b7aff00b3c9a9fe6e4bcb67","variables.91a4a05e1b7aff00b3c9a9fe6e4bcb5d"
"SCTASK0006608","COG - Service Desk Support","We need to reverse the 4 cheque payments which were posted in GP 2016. Can you please advise the best way to do this?","This is needed to clear the CW ABR. We need this resolved ASAP as we are approaching our year end."
"SCTASK0006603","COG - DBA Support","WGSIntegration - Database access is required ","WGSIntegration - Database access is required as part of Re push activity from WGS to SPV / Onside"
"SCTASK0006593","COG - Service Desk Support","Unable to approve discrepancies forwarded to him on Proactis","Unable to approve discrepancies forwarded to him on Proactis"
"SCTASK0006584","COG - Service Desk Support","Install Easy Badge","Technology purchased to print staff ID badges - Easy Badge Software"
"SCTASK0006583","COG - Application Support","Whole Game System - Error on WGS where it hasn't synced when a suspension was removed.","Whole Game System - Error on WGS where it hasn't synced when a suspension was removed. Remove suspension from WGS so that there is no restriction on him being able to register - (Samuel White, DoB 25/11/89, FAN 55752460)"
"SCTASK0006567","COG - Desk side support - Wembley","Laptop removal from FA network","Needed for Coach Education courses, CPD & other training events."
"SCTASK0006566","COG - Compute support","Mail Merge from Shared Inbox","Judicial Services are looking to send a mail merge from a shared inbox and have been told that we need to get the send access in order to do so. The mailbox in question is the Disciplinary Mailbox:  Disciplinary.Mailbox@thefa.com."
"SCTASK0006565","COG - Service Desk Support","I need access to the shared mailbox Discipline@northumberlandfa.com","I line manage Adam Williamson who normally oversees this inbox as Discipline Officer. Adam is currently on furlough so I need to gain access in his absence"
"SCTASK0006563","COG - Service Desk Support","Reactivate Sim Card","Please reactive sim card for iPad, deactivated as not used for sometime with lack of events.

ICCID - 8944122605522598838
Mobile Data Number - 07980742574"
"SCTASK0006551","COG - Compute support","Server Access required","Server Access required for Anju.Antony3@cognizant.com
10.110.0.200 – dev jump box 
10.112.0.200 – staging jump box 
Mirror id - FADEV\sradhakrishnan and THEFA\sradhakrishnan "
"SCTASK0006550","COG - Compute support","Server Access Required","Need Access to the below Servers
- 10.50.96.120 ( RDP access from 10.104.208.170 ). 
Smitha.PRadhakrishnan@cognizant.com
Anju.Antony3@cognizant.com"
"SCTASK0006549","COG - PFF Support","We have two referees who when registering have not been able to register to referee youth football as it says that their DBS is out of date (however it isn't).  The two referees are Paul Carrigan (Fan 55242659) and Cameron Sealby (Fan 61923955)","required for Ref Reg for season 2020/21 and KPIs
Please could you let me know when this has been resolved."
"SCTASK0006542","COG - Application Support","EMERGENCY - The FA Licensed Coaches' Club is pulling through old content on the homepage, despite us changing it. We need the correct image and link to pull through.","The result is the site showing directly contradictory information to coaches at a really important time. Support is needed to change this immediately."
"SCTASK0006539","COG - Application Support","Can't upload images on Sitecore","We have a number of important education pages needing to go live TODAY. We have some minor alterations required, so not being able to upload images is preventing us going live with the pages."
"SCTASK0006538","COG - ERSS Security-L1","I need access to http://cloud-test.thefa.com/ to be able to test FA.com test issues","http://cloud-test.thefa.com/ is the Test URL for the FA.com.  I used to have access to this URL but I seem to have lost it since we started using the FortiClient VPN.  Please reinstate my access for my FADEV\rbotley account."
"SCTASK0006534","COG - Desk side support - Wembley","Install Power Bi Desktop","New Pro licence issued - i'd like BI Desktop installing pls"
"SCTASK0006532","COG - Application Support","Issues with SPV Certificate Data","FAO Cognizant: I have been supplied with a list of people who have completed the FA Playmaker course however the new entries do not appear to be in the SPV & SV_SQL databases, please could you also forward to and also forward to Kasthuri.Natarajan@cognizant.com 

I have attached a spreadsheet with all the entries that are in Onside that I would expect to see, could the investigate the flow between onside and SPV to work out why the entries are not appearing."
"SCTASK0006531","COG - Service Desk Support","Spoofed Email","I keep getting a email saying - Your email message appears to have been spoofed. It hasn't been spoofed it is a Google Form alert, which we are using for bookings on our website."
"SCTASK0006530","COG - Smart Ops Support (L1.5)","Sitecore","I can't access Sitecore. The specified URL cannot be found.
ID: 17329df9edb-de9e9097"
"SCTASK0006528","COG - Compute support","Require WEM-GP1 server access","Alison have been set up as GP users with the 'Limited Sales' role so this must indeed have been actioned and signed off . She require WEM-GP1 server access."
"SCTASK0006520","COG - Service Desk Support","My laptop has suddenly stopped connecting to the internet - ive had to hard wire in","I am working from home and need to be able to access the wifi"
"SCTASK0006519","COG - Service Desk Support","Install Office 365 Visio Plan 2","Please can you remove my current version(s) of Visio and install the new version (Visio Plan 2) via  https://portal.office.com/account?lc=1033&auth=2#installs (apps and devices)

This is latest version of Visio which is now available and which we have bought licenses for (contact is John Sullivan)"
"SCTASK0006518","COG - Compute support","Require access for WEM-GP1 server","Morgan  have been set up as GP users with the 'Limited Sales' role so this must indeed have been actioned and signed off .They need access to  WEM-GP1 server."
"SCTASK0006517","COG - Application Support","Please move the following teams from Chesterfield FC to Chesterfield FC Community Trust (Club info attached)  teams U9, U10, u11, U12, U13, U14, U16, U16, U16 (EFL) U18","Teams have moved from one Club to another

Ensures data is accurate"
"SCTASK0006504","COG - PFF Support","Referee Will Bristow FAN No. 64857964","Error message states: I recently completed my DBS and want to register as a referee now for 2020/21. Whenever I click  
""Start Referee Re-registration for 2020 - 2021""
on the referee dashboard I get the error message,
The specified URL cannot be found.
ID: 173193521fd-a56d7f17"
"SCTASK0006502","COG - ERSS Security-L1","Network Port enable","We need to enable the  external trust between 2 forests  fa.ds.com & fadev.local"
"SCTASK0006496","COG - Compute support","I need help resetting by password on 2 of my FA accounts","I have 4 log in accounts,  2 of which I know the password for and 2 of which I dont.  I have tried to use the password reset page for all of them but without in luck.  I need the passwords reset for THEFA\rbotley and FA\rbotley so that I can access staging databases."
"SCTASK0006487","COG - Service Desk Support","We would like to have a FInance folder in the NFA shared folder that only two persons can access. Maria Murphy and Srah Bentley","We need this to beable to keep checking the finance information and leep it updated.  WE have a safeguarding one which only 3 persons can access."
"SCTASK0006483","COG - Service Desk Support","Microsoft visio license","Need create technical sequence diagrams and architectural diagrams for Club Wembley project"
"SCTASK0006478","COG - Desk side support - SGP","PPS Access Request for mark.ashdown@thefa.com","Please add mark.ashdown@thefa.com to the GS PPS Admin Google Group please which will enable him access to the PPS system."
"SCTASK0006476","COG - Desk side support - Wembley","Power BI Desktop Update","i have just had a ticket closed:- RITM0015976 as completed but the issue was not resolved on the call. i was told it was being escalated as they did not have the access rights to resolve"
"SCTASK0006474","COG - Application Support","Cancel all Just Play sessions up to and include Sunday 19th July","Remove all bookings and cancel sessions.

Do NOT send email cancellations."
"SCTASK0006473","COG - Service Desk Support","new email address","We need a new email address for affiliation - affiliation@amateur-fa.com"
"SCTASK0006472","COG - Service Desk Support","Access to clubafa@amateur-fa.com inbox","Please can i have access to this inbox, this is where our insurance provider sends the information"
"SCTASK0006471","COG - Service Desk Support","Shared Email","Hi I have been given approval under request item RITM0015902 to have  kent.enquiries@thefa.com  added to my account but I cannot see it there.  Can you help please?"
"SCTASK0006463","COG - Service Desk Support","Proxy server not working","Connected to VPN which works and email works, then can access the internet, but with proxy on can't access internet or access network drives. Like it yesterday and today."
"SCTASK0006453","COG - Desk side support - SGP","The HDMI port on my laptop doesn't seem to be working","It's been working fine plugged into a monitor this whole lockdown, but today it won't work, I've tested the cable on my partners laptop and it's working on the screen so it can;t be the cable or the screen.."
"SCTASK0006452","COG - Service Desk Support","ePDQ DL","For easier communication with the ePDQ Users. The  name of the DL to be ePDQ Users.

The below users to be added:

Annabel Barker <Annabel.Barker@thefa.com>; 
Henna Hussain <Henna.Hussain@wembleystadium.com>; 
Charlene Nyantekyi <Charlene.Nyantekyi@thefa.com>;
David Poppleton <David.Poppleton@thefa.com>;
John F. Williams <John.F.Williams@thefa.com>; 
Vijay Patel <Vijay.Patel@thefa.com>; 
Conor Griffin <Conor.Griffin@thefa.com>; 
Andrew Shorrocks <Andrew.Shorrocks@wembleystadium.com>; 
Bonnie Rolfe <Bonnie.Rolfe@wembleystadium.com>; 
Chris Crouch <Chris.Crouch@wembleystadium.com>

Thanks,
Malina"
"SCTASK0006443","COG - Service Desk Support","How do I order printer ink for one of my Coaches?","Required as now working from home."
"SCTASK0006442","COG - Desk side support - Wembley","Update to Power BI desktop","Need to the updated version to access new reports"
"SCTASK0006441","COG - Service Desk Support","Can't ghost log in","Needs to be able to check DBS status of coaches who have said they have started when they haven't"
"SCTASK0006375","COG - Service Desk Support","Need to be able to run reports on GP in PDF format - when trying to GP freezes","Essential for job role"
"SCTASK0006374","COG - Compute support","Please empty  T:\HR\Public prior to the migation of T : drive","We have no further need for any of the folders underneath 

T:\HR\Public

I do not have permission to delete the following folders, so please could you do it.

Christmas Party 2007
Christmas Party 2008
Microsoft Challenge June 2009
Photos of the BBQ day 2006
Staff Conference Deck 2020
Summer Party 2008
Wembley Stadium Charitable Foundation
WNSL Kids Club

Please retain T:\HR\Public as it could be handy to share files between departments after the migration. 

Thanks
Liz K"
"SCTASK0006373","COG - Service Desk Support","need a login for FA sharefile","Need to upload clips of on field incidents to send to panel members for reviews on challenges"
"SCTASK0006371","COG - Service Desk Support","Adobe Pro Licence","As Company Secretary, I sign multiple documents on behalf of The FA so I need the editing and signing function for PDFs."
"SCTASK0006369","COG - Service Desk Support","Install MS Visio software","Visio required to create and edit system diagrams for project documentation. Visio is the standard package in use at The FA to create technical diagrams."
"SCTASK0006368","COG - Service Desk Support","can't access to Shared file (\\c-birm-srv) - error message appears stating The Network name cannot be found","I am the DSO and have all my files saved under Safeguarding within the shared document that I need to complete my day to day job."
"SCTASK0006360","COG - Compute support","Add to the group THEFA\GG","Please add the below list in the THEFA\GC group
THEFA\Cog.VS
THEFA\Cog.NT"
